Unnamed: 0,contract,category,clause_text,word_count
811,PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement1,Insurance,"If we do so and you choose not to use our recommended construction manager, you must hire a general contractor who is reasonably acceptable to us and who must have the following minimum insurance coverage: (a) commercial general liability in an amount of $2,000,000 combined single limit; (b) comprehensive automobile liability for owned, hired and non-owned motor vehicles in an amount of $1,000,000 combined single limit; (c) workers' compensation, occupational diseases and disability benefits in accordance with applicable statutory requirements; (d) employers' liability in an amount of $1,000,000; (e) employee fidelity bond of $2,000,000; and (f) umbrella form excess liability insurance in excess of the limits provided by the commercial general liability policy required above with limits of $3,000,000 per occurrence and annual aggregate.",124
9249,SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement1,Insurance,You must maintain insurance related to your operation of the Franchised Business.,12
6940,"Array BioPharma Inc. - LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT",Ip Ownership Assignment,"Ono shall assign (or cause to be assigned) to Array or its designee, at Array's cost, except in case of termination by Array pursuant to Section 13.3 or 13.4 or by Ono pursuant to Section 13.2, in which case the expenses will be borne by Ono, (or to the extent not so assignable, Ono shall take all reasonable actions to make available to Array or its designee the benefits of) all Regulatory Filings for the Product in the Ono Territory, including any such Regulatory Filings made or owned by its Affiliates and/or Sublicensees.",93
11197,Monsanto Company - SECOND A_R EXCLUSIVE AGENCY AND MARKETING AGREEMENT ,License Grant,"Agent hereby grants to Monsanto, during the term of this Agreement, a non-exclusive, royalty-free, non- transferable and non-assignable license (without the right to sublicense, except as specifically set forth in Section 6.11(h)) to use the Additional Roundup Products Trademarks for the purpose of and to the limited extent necessary to register the Additional Roundup Products with federal, state, or territorial government authorities (as may be required by law) in the United States and its territories (the ""Additional Roundup Products Trademarks",80
3316,HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement,Insurance,(c) General Liability Insurance with a minimum limit of [REDACTED AMOUNT] and [REDACTED AMOUNT] in the aggregate. General Liability Insurance shall include Clinical Trial Insurance. The limits may be met with a combination of primary and commercial umbrella insurance.,37
4628,GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT,Expiration Date,"The term of this Agreement will begin on the Launch Date and will             not end until Excite displays of a total of XXXXXXXXXXXXX             impressions of Client's advertising banners and promotional             placements on the Excite Site and Excite has made reasonable             commercial efforts to deliver, at minimum, a goal of XXXXXXXX             clickthroughs to the Client Site.",55
331,"FTENETWORKS,INC_02_18_2016-EX-99.4-STRATEGIC ALLIANCE AGREEMENT",Audit Rights,"As set forth in the Exhibit, EDGE shall have the opportunity to review and inspect all elements of the Work in a reasonable manner.",24
13000,ParatekPharmaceuticalsInc_20170505_10-KA_EX-10.29_10323872_EX-10.29_Outsourcing Agreement,Notice Period To Terminate Renewal,"This Agreement is effective as of the Effective Date and will expire in accordance with Section 2.1, unless, upon the occurrence of any of the following events, this Agreement is earlier terminated in accordance with this Section 18.1:

a) Customer delivers written notice of termination to Supplier at least [* * *] prior to the expiration date of the Initial Term, which termination shall be effective as of the expiration date of the Initial Term;

b) either Party delivers written notice of termination to the other Party at least [* * *] prior to the expiration date of the Renewal Term, which termination shall be effective as of the expiration date of the Renewal Term;",115
4125,"NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBUTOR AGREEMENT",Warranty Duration,"Distributor may return previously purchased Products for replacement by an equal or greater value of different Products, under the following conditions:

         a) Distributor may return Products only within the [REDACTED DURATION] period following [REDACTED DURATION] of each year.",36
2191,INTERNATIONALFASTFOODCORP_04_04_1997-EX-99-FRANCHISE AGREEMENT,Rofr/Rofo/Rofn,BKC or its designee shall then have the prior option to purchase the interests  covered by the  offer  at the  price  and  upon the  same  terms  of the  offer.,29
